RAVE_OBS_ID,Teff,logg,MH,FeH,alphaM,SiFe,AlFe,MgFe,NiFe
20040403_1042m11_024,4873.01,2.487092,-0.10708155,-0.12106155,0.0039049983,0.029025003,0.046495497,-0.010672301,-0.0032579005
20040403_1042m11_058,4616.7817,2.444756,-0.15089154,-0.15679155,-0.010201,-0.0073869973,-0.0267265,-0.008568391,-0.011887893
20040403_1042m11_060,5010.0723,3.2310479,-0.12082155,-0.12928155,0.0052199997,0.0022720098,0.026842497,0.023512699,0.0077821016
20040403_1042m11_073,4862.278,2.3828723,-0.29231155,-0.30784154,0.044155,0.048440993,0.07890949,0.076105684,0.02976209
20040403_1042m11_135,4991.8203,3.171942,-0.32863155,-0.34224156,0.047711,0.042145997,0.1198155,0.0953677,0.05548209
20040408_1200m09_014,4867.8394,2.988245,-0.38933155,-0.40549156,0.158569,0.138482,0.2154485,0.25009173,0.07744211
20040408_1200m09_015,4898.677,3.1179533,-0.07686055,-0.092569545,-0.0062920004,-0.009091005,0.04276149,0.010998301,0.028939098
20040408_1200m09_029,4737.0117,3.062071,0.20016845,0.18716845,-0.0021690018,0.0065840036,-0.017171502,0.014609694,0.0066921115
20040408_1200m09_030,4968.6494,3.226304,-0.41725156,-0.43221155,0.112179,0.066759974,0.1323885,0.1725317,0.0574421
20040408_1414m05_117,6080.55,4.398242,0.066327,0.06663,-0.0192803,-0.020255,-0.04098075,-0.035996504,0.021540552
20040409_1200m15_001,4653.6904,2.5534327,-0.023858551,-0.056342553,0.148969,0.153316,0.1535795,0.23260571,0.0745461
20040409_1200m15_004,4504.4614,2.2781012,0.059633452,0.03702345,0.028972998,0.042656,0.012383494,0.053603705,0.0342861
20040409_1200m15_010,4903.5464,2.5517247,-0.5319315,-0.5534015,0.24776901,0.221342,0.25104848,0.34553173,0.10251206
20040409_1200m15_012,6673.734,4.008313,-0.18992901,-0.380229,0.133325,0.273931,0.08217925,0.36156148,0.16010953
20040409_1200m15_013,5234.2803,2.369657,-0.89528155,-0.93565154,0.214669,0.17959201,0.14484847,0.35512173,0.08807206
20040409_1200m15_144,4662.356,4.710457,-0.47620898,-0.457649,0.060649,0.0018302202,-0.029430747,0.053174496,0.006129563
20040409_1337m03_055,4394.3853,2.1524673,0.10585845,0.09011645,0.011787001,0.01189401,0.008520491,0.04477171,0.006104104
20040430_1146m01_063,5126.7114,4.621804,0.199001,0.198481,-0.03709,-0.05491899,-0.030230746,-0.056159496,-0.0028304309
20040430_1146m01_072,4945.697,3.1999261,0.0038681498,-0.00333505,0.0072729997,0.005541199,0.026502002,0.0221389,0.020295598
20040430_1146m01_098,6117.9233,4.213465,0.00259586,0.0039856,0.0094840005,0.02252926,0.02183465,-0.018545242,0.0026819492
20040508_1200m15_001,4859.044,2.3956678,-0.35520154,-0.37581155,0.171949,0.18023202,0.1955325,0.2356417,0.07276207
20040508_1200m15_021,6271.404,4.081579,-0.149139,-0.152729,0.063374005,0.088497005,0.04606825,0.070520505,0.027017549
20040508_1200m15_146,4815.509,2.451633,-0.01706455,-0.031869553,0.013441,0.034760006,0.057176493,0.018649701,-0.0054478943
20040508_1200m15_149,4634.928,2.3902678,0.14002845,0.13211845,0.0078019984,0.020209998,-0.024471506,0.011371702,0.0108421
20040531_1058m07_106,5936.759,4.1559277,-0.080959,-0.07851,0.020027,0.009804003,0.074929245,-0.021486498,0.029629052
20040605_1358m01_056,6201.4253,4.2399235,0.042515002,0.044248,0.0028060004,0.023462825,-0.003405746,-0.0178205,0.012593549
