parallax,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,Jmag_2MASS,Hmag_2MASS,Kmag_2MASS,wise1,wise2,av50
      0.98635642,       10.646591,11.194241 ,9.983167  ,      9.12900,      8.63400,      8.48200,      8.41000,      8.51100,      0.21999208
      0.76503257,       10.979646,11.587025 ,10.267631 ,      9.33000,      8.74000,      8.61500,      8.53100,      8.63900,      0.29387428
       1.5854976,       11.181599,11.694175 ,10.542783 ,      9.72800,      9.27900,      9.13800,      9.08600,      9.15100,      0.11041070
      0.61469114,       10.996709,11.537253 ,10.342853 ,      9.48600,      8.97700,      8.84400,      8.79200,      8.88800,      0.10722816
       1.2037701,       11.271760,11.768787 ,10.648756 ,      9.83900,      9.37300,      9.28800,      9.19700,      9.25700,     0.055540004
       2.1083914,       10.269235,10.776503 ,9.6331415 ,      8.84100,      8.32500,      8.18900,      8.14000,      8.21600,      0.26321324
       1.7283466,       10.917644,11.442616 ,10.273944 ,      9.49000,      8.94100,      8.81800,      8.76700,      8.87000,      0.24885079
       2.5511654,       10.181185,10.747299 ,9.506843  ,      8.62500,      8.11800,      7.94800,      7.89700,      8.01500,      0.26065581
       1.8892488,       11.125175,11.61503  ,10.512914 ,      9.70300,      9.20300,      9.13300,      9.08600,      9.16100,     0.068121785
       3.6993750,       11.254227,11.560287 ,10.809863 ,      10.3540,      10.0650,      10.0150,      9.96000,      9.98800,       0.0000000
      0.69352629,       11.584385,12.202781 ,10.863506 ,      9.90600,      9.36900,      9.21400,      9.10900,      9.21100,      0.25797640
       1.1021544,       10.096648,10.7427025,9.356765  ,      8.35800,      7.75900,      7.58900,      7.46400,      7.64400,      0.20497935
      0.52835948,       11.566403,12.066719 ,10.931864 ,      10.0950,      9.60800,      9.48100,      9.44400,      9.49700,      0.25301132
       2.6653550,       10.061273,10.276105 ,9.731131  ,      9.36700,      9.18200,      9.16800,      9.07600,      9.09900,       0.0000000
      0.63410752,       11.622784,12.052671 ,11.040324 ,      10.2990,      9.83200,      9.79900,      9.67400,      9.79800,       0.0000000
       8.6020608,       12.097597,12.662752 ,11.404711 ,      10.5320,      10.0090,      9.87700,      9.82300,      9.88700,      0.28720615
      0.73974871,       11.116572,11.802375 ,10.35404  ,      9.34700,      8.73400,      8.53700,      8.45100,      8.57800,      0.19179424
       11.943282,       10.439967,10.930652 ,9.828879  ,      9.13100,      8.68700,      8.58400,      8.51000,      8.58600,     0.092190146
       2.2640791,       10.385020,10.892085 ,9.754418  ,      8.96600,      8.48900,      8.37100,      8.30800,      8.38600,     0.063814271
       6.7077530,       9.5140960,9.800612  ,9.100786  ,      8.65100,      8.41700,      8.33500,      8.33000,      8.35600,       0.0000000
      0.70189181,       11.372809,11.9319   ,10.699871 ,      9.83100,      9.32700,      9.19100,      9.07800,      9.20100,     0.041939082
       3.1189679,       10.177987,10.463535 ,9.756961  ,      9.27600,      9.06200,      9.00200,      8.92800,      8.95900,      0.15109241
      0.75473667,       10.985507,11.5666485,10.298493 ,      9.40200,      8.86400,      8.72700,      8.64900,      8.76200,      0.17234481
       1.3737591,       10.034655,10.647847 ,9.322114  ,      8.33700,      7.79700,      7.63600,      7.53000,      7.69300,      0.20612725
       2.4223702,       11.947481,12.249473 ,11.499751 ,      10.9350,      10.6960,      10.6610,      10.6380,      10.6590,      0.10348574
       5.5777214,       9.8344140,10.117169 ,9.424129  ,      8.96500,      8.72600,      8.68700,      8.63900,      8.67500,      0.22132847
       2.8178933,       10.432568,10.731445 ,10.003624 ,      9.48400,      9.25800,      9.17600,      9.16100,      9.17300,      0.14718576
       1.1162557,       10.523344,11.15864  ,9.790362  ,      8.81400,      8.25300,      8.12800,      8.00800,      8.12900,      0.41163560
       2.4214858,       10.016559,10.587497 ,9.333773  ,      8.47100,      7.92500,      7.80500,      7.66600,      7.79900,      0.29945230
       7.1874858,       10.291953,10.61015  ,9.837465  ,      9.35500,      9.10500,      8.97500,      8.94400,      8.98100,       0.0000000
       3.4060299,       11.925626,12.280079 ,11.424532 ,      10.8680,      10.5330,      10.5010,      10.4200,      10.4620,     0.090971615
       2.0297165,       11.180526,11.571572 ,10.648529 ,      10.0250,      9.67500,      9.56600,      9.52300,      9.58500,       0.0000000
       2.2119686,       11.202458,11.498149 ,10.76947  ,      10.2980,      10.0600,      10.0240,      9.95700,      9.98300,      0.38817309
       1.7522176,       10.006189,10.582192 ,9.325323  ,      8.42700,      7.84300,      7.72900,      7.63900,      7.74400,      0.33892477
       3.0561757,       11.110567,11.468872 ,10.614532 ,      10.0450,      9.76800,      9.67000,      9.64600,      9.70300,       0.0000000
       2.6035721,       11.363245,11.928376 ,10.687809 ,      9.87000,      9.35500,      9.23900,      9.15600,      9.24400,      0.17456270
       1.1310217,       10.527846,11.121091 ,9.833249  ,      8.89900,      8.29900,      8.16700,      8.10900,      8.21100,      0.21970481
       3.6938082,       11.516841,11.828806 ,11.054242 ,      10.5560,      10.3290,      10.1930,      10.1310,      10.1530,     0.042474897
       1.7554498,       12.139860,12.515144 ,11.621974 ,      11.0330,      10.7050,      10.6540,      10.5840,      10.6340,       0.0000000
       7.3629298,       10.094468,10.445593 ,9.617673  ,      9.06900,      8.76900,      8.70500,      8.65700,      8.67400,       0.0000000
       11.756797,       9.8501970,10.217083 ,9.352365  ,      8.75300,      8.40600,      8.35200,      8.30400,      8.35100,       0.0000000
       1.5519246,       12.042762,12.332845 ,11.603393 ,      11.0660,      10.8420,      10.7890,      10.7460,      10.7520,      0.20543449
       3.1685470,       10.686843,10.973879 ,10.26543  ,      9.78600,      9.56700,      9.51500,      9.46900,      9.47400,       0.0000000
       4.6823129,       12.353839,12.781864 ,11.781057 ,      11.1160,      10.6960,      10.5840,      10.5560,      10.6180,       0.0000000
       4.7868008,       10.794033,11.129025 ,10.322856 ,      9.79400,      9.49600,      9.44100,      9.34700,      9.36600,       0.0000000
       1.3031169,       9.9926490,10.487303 ,9.370428  ,      8.59300,      8.09200,      7.98500,      7.90700,      7.97900,      0.20138048
       1.1385287,       10.457277,11.025257 ,9.777049  ,      8.86000,      8.37200,      8.19400,      8.14000,      8.23300,      0.19982060
      0.52324241,       11.794949,12.401196 ,11.076676 ,      10.1370,      9.55600,      9.38200,      9.30900,      9.44700,     0.056272624
